title,description,category,condition,original_price,final_price
手办模型,手办模型，在校期间使用，细节位置有轻微磨损，适合有同样兴趣的同学，支持当面验货。,other/art,like_new,2664,1820
桌游,桌游，在校期间使用，有正常使用痕迹，不影响功能，适合有同样兴趣的同学，支持当面验货。,other/appliance,new,1549,1322
iPad Air 128G 2021款,iPad Air 128G 2021款，主要用来上网课，外壳有少量细小划痕，无拆修，电池状态良好，看中的话可以小刀一点。,electronics/other_electronics,good,7133,4362
台灯,台灯，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，支持当面验货。,daily/stationery,fair,49,17
牛仔裤 尺码M,牛仔裤 尺码M，洗护得当，颜色保持良好，细看有少量小污渍，衣服版型正常，不影响日常穿着，校内自提优先。,clothing/accessories,good,332,166
小型冰箱（其他/家具）,小型冰箱，在校期间使用，基本保持干净整洁，适合有同样兴趣的同学，也可以邮寄，运费自理。,other/furniture,fair,1896,941
卫衣 尺码XL,卫衣 尺码XL，只在换季时偶尔穿，细看有少量小污渍，衣服版型正常，不影响日常穿着，校内自提优先。,clothing/other_clothing,good,344,229
高数 同济版 考研专用,高数 同济版 考研专用，几乎未写过习题，书脊完好，无缺页，适合备考或平时自学，也可以邮寄，运费自理。,books/professional,fair,93,28
华为 Mate 64G 2022款,华为 Mate 64G 2022款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，看中的话可以小刀一点。,electronics/desktop,like_new,972,685
饮料套餐,饮料套餐，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/snacks,good,21,13
整箱方便面,整箱方便面，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/other_food,good,123,62
小米手机 512G 2021款,小米手机 512G 2021款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，看中的话可以小刀一点。,electronics/camera,new,4324,3532
哑铃套装,哑铃套装，在学校操场使用，表面有轻微磨损，适合日常锻炼，支持当面验货。,sports/cycling,good,680,341
连帽外套 尺码S,连帽外套 尺码S，穿着次数不多，无明显污渍，衣服版型正常，不影响日常穿着，校内自提优先。,clothing/jewelry,like_new,751,554
小型冰箱,小型冰箱，在校期间使用，整体成色良好，适合有同样兴趣的同学，校内自提优先。,other/service,fair,2618,1069
概率论教程 最新版,概率论教程 最新版，几乎未写过习题，书脊完好，无缺页，适合备考或平时自学，支持当面验货。,books/comic,fair,45,11
尤克里里,尤克里里，在校期间使用，细节位置有轻微磨损，适合有同样兴趣的同学，看中的话可以小刀一点。,other/art,new,688,598
帆布包 尺码XL（服装配饰/下装）,帆布包 尺码XL，穿着次数不多，无明显污渍，衣服版型正常，不影响日常穿着，校内自提优先。,clothing/bottom,like_new,123,77
瑜伽垫（运动用品/骑行装备）,瑜伽垫，在学校操场使用，表面有轻微磨损，适合日常锻炼，也可以邮寄，运费自理。,sports/cycling,good,311,146
咖啡粉,咖啡粉，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/health_food,like_new,80,51
手办模型,手办模型，在校期间使用，细节位置有轻微磨损，适合有同样兴趣的同学，校内自提优先。,other/toy,like_new,483,277
华为 Mate 256G 2023款,华为 Mate 256G 2023款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，校内自提优先。,electronics/other_electronics,like_new,3645,2281
零食大礼包,零食大礼包，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/instant_food,like_new,36,26
画板,画板，在校期间使用，有正常使用痕迹，不影响功能，适合有同样兴趣的同学，校内自提优先。,other/furniture,like_new,782,495
羽绒服 尺码XL,羽绒服 尺码XL，只在换季时偶尔穿，无明显污渍，衣服版型正常，不影响日常穿着，看中的话可以小刀一点。,clothing/bag,like_new,158,87
收纳盒,收纳盒，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，校内自提优先。,daily/other_daily,like_new,90,71
足球（运动用品/运动服装）,足球，在学校体育馆使用，整体状态很好，适合日常锻炼，也可以邮寄，运费自理。,sports/sports_clothing,like_new,560,429
四六级模拟题 第七版,四六级模拟题 第七版，几乎未写过习题，书脊完好，无缺页，适合备考或平时自学，校内自提优先。,books/magazine,like_new,94,62
卫衣 尺码L（服装配饰/包包）,卫衣 尺码L，穿着次数不多，细看有少量小污渍，衣服版型正常，不影响日常穿着，支持当面验货。,clothing/bag,good,181,89
运动鞋 尺码XL,运动鞋 尺码XL，穿着次数不多，无明显污渍，衣服版型正常，不影响日常穿着，校内自提优先。,clothing/top,like_new,525,402
机械键盘 512G 2022款（电子产品/台式电脑）,机械键盘 512G 2022款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，也可以邮寄，运费自理。,electronics/desktop,like_new,5598,4219
化妆品套装（日用百货/装饰品）,化妆品套装，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，校内自提优先。,daily/decoration,poor,407,46
台灯,台灯，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，看中的话可以小刀一点。,daily/cleaning,like_new,60,47
考研英语真题 第七版,考研英语真题 第七版，只有少量铅笔标注，书脊完好，无缺页，适合备考或平时自学，也可以邮寄，运费自理。,books/textbook,new,127,114
化妆品套装,化妆品套装，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，校内自提优先。,daily/storage_box,good,222,105
iPad Air 512G 2020款（电子产品/存储设备）,iPad Air 512G 2020款，主要用来上网课，外观几乎无划痕，无拆修，电池状态良好，校内自提优先。,electronics/storage,like_new,4412,3289
手办模型（其他/票券卡券）,手办模型，在校期间使用，细节位置有轻微磨损，适合有同样兴趣的同学，也可以邮寄，运费自理。,other/ticket,new,717,559
线性代数 第六版,线性代数 第六版，只有少量铅笔标注，书脊完好，无缺页，适合备考或平时自学，支持当面验货。,books/language,fair,117,57
运动鞋 尺码M,运动鞋 尺码M，只在换季时偶尔穿，无明显污渍，衣服版型正常，不影响日常穿着，校内自提优先。,clothing/dress,like_new,612,417
奶茶券（食品饮料/保健食品）,奶茶券，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/health_food,good,65,30
手办模型,手办模型，在校期间使用，整体成色良好，适合有同样兴趣的同学，校内自提优先。,other/art,like_new,1210,671
跑步鞋（运动用品/球类用品）,跑步鞋，在学校操场使用，表面有轻微磨损，适合日常锻炼，支持当面验货。,sports/ball,good,455,246
轻薄本 256G 2021款,轻薄本 256G 2021款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，支持当面验货。,electronics/other_electronics,like_new,1996,1397
跑步鞋（运动用品/其他运动用品）,跑步鞋，在学校体育馆使用，整体状态很好，适合日常锻炼，看中的话可以小刀一点。,sports/other_sports,new,1197,921
木吉他,木吉他，在校期间使用，整体成色良好，适合有同样兴趣的同学，校内自提优先。,other/toy,like_new,1969,1502
经典小说 第七版,经典小说 第七版，部分章节有荧光笔划线，书脊完好，无缺页，适合备考或平时自学，校内自提优先。,books/exam,like_new,183,106
轻薄本 64G 2020款（电子产品/相机/摄像机）,轻薄本 64G 2020款，平时学习和娱乐使用，外壳有少量细小划痕，无拆修，电池状态良好，也可以邮寄，运费自理。,electronics/camera,good,3820,2006
概率论教程 第六版（图书教材/漫画绘本）,概率论教程 第六版，部分章节有荧光笔划线，书脊完好，无缺页，适合备考或平时自学，也可以邮寄，运费自理。,books/comic,good,194,124
化妆品套装,化妆品套装，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，也可以邮寄，运费自理。,daily/cosmetics,fair,500,162
尤克里里,尤克里里，在校期间使用，基本保持干净整洁，适合有同样兴趣的同学，支持当面验货。,other/furniture,like_new,1543,888
MacBook Pro 512G 2021款,MacBook Pro 512G 2021款，平时学习和娱乐使用，外壳有少量细小划痕，无拆修，电池状态良好，看中的话可以小刀一点。,electronics/laptop,good,5176,3158
羽绒服 尺码S,羽绒服 尺码S，洗护得当，颜色保持良好，细看有少量小污渍，衣服版型正常，不影响日常穿着，支持当面验货。,clothing/bag,good,359,144
iPhone 14 256G 2023款,iPhone 14 256G 2023款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，校内自提优先。,electronics/accessories,new,7752,5993
小米手机 512G 2020款,小米手机 512G 2020款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，支持当面验货。,electronics/other_electronics,like_new,1104,630
概率论教程 最新版（图书教材/专业书籍）,概率论教程 最新版，只有少量铅笔标注，书脊完好，无缺页，适合备考或平时自学，校内自提优先。,books/professional,like_new,184,95
显示器 256G 2020款,显示器 256G 2020款，平时学习和娱乐使用，外壳有少量细小划痕，无拆修，电池状态良好，看中的话可以小刀一点。,electronics/laptop,good,677,394
漫画合集 最新版,漫画合集 最新版，只有少量铅笔标注，书脊完好，无缺页，适合备考或平时自学，也可以邮寄，运费自理。,books/exam,good,192,121
桌游,桌游，在校期间使用，细节位置有轻微磨损，适合有同样兴趣的同学，看中的话可以小刀一点。,other/other_other,like_new,2463,1848
电饭煲,电饭煲，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，支持当面验货。,daily/stationery,good,90,49
整箱方便面,整箱方便面，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/drinks,fair,5,1
高数 同济版 第六版,高数 同济版 第六版，部分章节有荧光笔划线，书脊完好，无缺页，适合备考或平时自学，看中的话可以小刀一点。,books/professional,good,181,79
水壶（日用百货/护肤品）,水壶，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，也可以邮寄，运费自理。,daily/skincare,like_new,269,203
线性代数 最新版,线性代数 最新版，只有少量铅笔标注，书脊完好，无缺页，适合备考或平时自学，支持当面验货。,books/comic,like_new,186,99
线性代数 考研专用,线性代数 考研专用，只有少量铅笔标注，书脊完好，无缺页，适合备考或平时自学，校内自提优先。,books/exam,new,104,92
iPad Air 256G 2021款,iPad Air 256G 2021款，主要用来上网课，外观几乎无划痕，无拆修，电池状态良好，支持当面验货。,electronics/phone,new,3077,2498
台灯,台灯，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，校内自提优先。,daily/storage_box,good,240,129
桌游,桌游，在校期间使用，整体成色良好，适合有同样兴趣的同学，也可以邮寄，运费自理。,other/musical,good,1309,722
手办模型,手办模型，在校期间使用，基本保持干净整洁，适合有同样兴趣的同学，校内自提优先。,other/appliance,like_new,2953,2334
画板,画板，在校期间使用，细节位置有轻微磨损，适合有同样兴趣的同学，校内自提优先。,other/furniture,poor,393,39
iPad Air 512G 2023款,iPad Air 512G 2023款，主要用来上网课，外壳有少量细小划痕，无拆修，电池状态良好，也可以邮寄，运费自理。,electronics/charger,fair,4204,1615
收纳盒,收纳盒，宿舍自用，几乎全新，一直保持干净，转给需要的同学，校内自提优先。,daily/skincare,new,48,39
羽绒服 尺码S,羽绒服 尺码S，穿着次数不多，无明显污渍，衣服版型正常，不影响日常穿着，校内自提优先。,clothing/top,like_new,695,518
吹风机,吹风机，在校期间使用，细节位置有轻微磨损，适合有同样兴趣的同学，校内自提优先。,other/other_other,good,1064,491
骑行头盔,骑行头盔，在学校体育馆使用，表面有轻微磨损，适合日常锻炼，也可以邮寄，运费自理。,sports/fitness,poor,648,87
固态硬盘 512G 2022款,固态硬盘 512G 2022款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，看中的话可以小刀一点。,electronics/laptop,new,2119,1677
手办模型,手办模型，在校期间使用，基本保持干净整洁，适合有同样兴趣的同学，看中的话可以小刀一点。,other/toy,new,2616,2077
台灯,台灯，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，校内自提优先。,daily/stationery,fair,376,146
瑜伽垫,瑜伽垫，在学校体育馆使用，整体状态很好，适合日常锻炼，校内自提优先。,sports/fitness,like_new,84,60
线性代数 第六版,线性代数 第六版，只有少量铅笔标注，书脊完好，无缺页，适合备考或平时自学，也可以邮寄，运费自理。,books/novel,new,10,8
四六级模拟题 考研专用（图书教材/漫画绘本）,四六级模拟题 考研专用，只有少量铅笔标注，书脊完好，无缺页，适合备考或平时自学，看中的话可以小刀一点。,books/comic,new,54,43
机械键盘 256G 2021款,机械键盘 256G 2021款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，校内自提优先。,electronics/phone,like_new,550,301
降噪耳机 64G 2021款,降噪耳机 64G 2021款，平时学习和娱乐使用，外壳有少量细小划痕，无拆修，电池状态良好，校内自提优先。,electronics/camera,poor,1974,370
化妆品套装,化妆品套装，宿舍自用，几乎全新，一直保持干净，转给需要的同学，看中的话可以小刀一点。,daily/cleaning,new,75,52
饮料套餐,饮料套餐，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/snacks,new,172,154
桌游,桌游，在校期间使用，整体成色良好，适合有同样兴趣的同学，也可以邮寄，运费自理。,other/art,like_new,2947,1871
雨伞（日用百货/床上用品）,雨伞，宿舍自用，几乎全新，一直保持干净，转给需要的同学，支持当面验货。,daily/bedding,new,347,302
木吉他,木吉他，在校期间使用，有正常使用痕迹，不影响功能，适合有同样兴趣的同学，看中的话可以小刀一点。,other/furniture,good,1363,857
蓝牙耳机 128G 2020款,蓝牙耳机 128G 2020款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，支持当面验货。,electronics/charger,like_new,5121,4009
高数 同济版 考研专用,高数 同济版 考研专用，部分章节有荧光笔划线，书脊完好，无缺页，适合备考或平时自学，校内自提优先。,books/novel,good,190,112
饮料套餐,饮料套餐，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/other_food,like_new,10,7
零食大礼包,零食大礼包，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/tea_coffee,fair,147,55
化妆品套装,化妆品套装，宿舍自用，几乎全新，一直保持干净，转给需要的同学，也可以邮寄，运费自理。,daily/other_daily,new,216,187
高数 同济版 考研专用,高数 同济版 考研专用，几乎未写过习题，书脊完好，无缺页，适合备考或平时自学，也可以邮寄，运费自理。,books/language,poor,180,25
收纳盒,收纳盒，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，看中的话可以小刀一点。,daily/stationery,like_new,163,84
羽毛球拍,羽毛球拍，在学校体育馆使用，表面有轻微磨损，适合日常锻炼，校内自提优先。,sports/ball,good,1216,589
轻薄本 64G 2022款,轻薄本 64G 2022款，平时学习和娱乐使用，外壳有少量细小划痕，无拆修，电池状态良好，校内自提优先。,electronics/tablet,good,6449,4237
饮料套餐,饮料套餐，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/other_food,like_new,73,48
整箱方便面（食品饮料/其他食品）,整箱方便面，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/other_food,new,94,81
台灯,台灯，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，也可以邮寄，运费自理。,daily/cosmetics,like_new,207,131
水壶,水壶，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，也可以邮寄，运费自理。,daily/storage_box,good,53,31
化妆品套装（日用百货/化妆品）,化妆品套装，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，看中的话可以小刀一点。,daily/cosmetics,good,54,29
零食大礼包,零食大礼包，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/instant_food,new,171,141
专业课教材 考研专用,专业课教材 考研专用，只有少量铅笔标注，书脊完好，无缺页，适合备考或平时自学，支持当面验货。,books/reference,new,13,11
电饭煲,电饭煲，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，看中的话可以小刀一点。,daily/storage_box,good,80,42
iPad Air 64G 2021款,iPad Air 64G 2021款，主要用来上网课，外壳有少量细小划痕，无拆修，电池状态良好，也可以邮寄，运费自理。,electronics/desktop,fair,1702,830
机械键盘 64G 2022款（电子产品/台式电脑）,机械键盘 64G 2022款，平时学习和娱乐使用，外壳有少量细小划痕，无拆修，电池状态良好，校内自提优先。,electronics/desktop,good,3686,2374
羽绒服 尺码L,羽绒服 尺码L，穿着次数不多，细看有少量小污渍，衣服版型正常，不影响日常穿着，校内自提优先。,clothing/outerwear,good,358,197
机械键盘 256G 2022款,机械键盘 256G 2022款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，看中的话可以小刀一点。,electronics/headphone,like_new,6785,4110
桌游,桌游，在校期间使用，细节位置有轻微磨损，适合有同样兴趣的同学，支持当面验货。,other/ticket,new,2594,2109
考研英语真题 第七版（图书教材/考试用书）,考研英语真题 第七版，几乎未写过习题，书脊完好，无缺页，适合备考或平时自学，也可以邮寄，运费自理。,books/exam,like_new,13,7
iPhone 13 256G 2020款,iPhone 13 256G 2020款，平时学习和娱乐使用，外壳有少量细小划痕，无拆修，电池状态良好，校内自提优先。,electronics/headphone,good,6922,3553
显示器 128G 2022款,显示器 128G 2022款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，支持当面验货。,electronics/watch,like_new,5608,3511
概率论教程 第七版（图书教材/其他图书）,概率论教程 第七版，几乎未写过习题，书脊完好，无缺页，适合备考或平时自学，支持当面验货。,books/other_books,poor,114,32
专业课教材 第六版（图书教材/漫画绘本）,专业课教材 第六版，只有少量铅笔标注，书脊完好，无缺页，适合备考或平时自学，看中的话可以小刀一点。,books/comic,like_new,50,37
MacBook Pro 256G 2021款（电子产品/相机/摄像机）,MacBook Pro 256G 2021款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，看中的话可以小刀一点。,electronics/camera,like_new,806,542
整箱方便面（食品饮料/保健食品）,整箱方便面，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/health_food,like_new,168,92
电磁炉,电磁炉，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，支持当面验货。,daily/cleaning,fair,201,76
线性代数 第六版,线性代数 第六版，部分章节有荧光笔划线，书脊完好，无缺页，适合备考或平时自学，校内自提优先。,books/exam,fair,147,68
手办模型（其他/家电）,手办模型，在校期间使用，细节位置有轻微磨损，适合有同样兴趣的同学，校内自提优先。,other/appliance,new,890,713
宿舍四件套,宿舍四件套，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，看中的话可以小刀一点。,daily/kitchen,poor,49,9
尤克里里,尤克里里，在校期间使用，有正常使用痕迹，不影响功能，适合有同样兴趣的同学，支持当面验货。,other/musical,fair,1254,438
运动鞋 尺码XL（服装配饰/配饰）,运动鞋 尺码XL，只在换季时偶尔穿，细看有少量小污渍，衣服版型正常，不影响日常穿着，也可以邮寄，运费自理。,clothing/accessories,good,504,296
篮球（运动用品/跑步装备）,篮球，在学校体育馆使用，整体状态很好，适合日常锻炼，看中的话可以小刀一点。,sports/running,new,644,547
饮料套餐,饮料套餐，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/drinks,new,18,15
机械键盘 64G 2023款,机械键盘 64G 2023款，平时学习和娱乐使用，外壳有少量细小划痕，无拆修，电池状态良好，校内自提优先。,electronics/phone,good,7104,3265
哑铃套装,哑铃套装，在学校操场使用，整体状态很好，适合日常锻炼，也可以邮寄，运费自理。,sports/outdoor,new,970,691
经典小说 第六版,经典小说 第六版，只有少量铅笔标注，书脊完好，无缺页，适合备考或平时自学，看中的话可以小刀一点。,books/novel,fair,88,35
四六级模拟题 第七版（图书教材/考试用书）,四六级模拟题 第七版，几乎未写过习题，书脊完好，无缺页，适合备考或平时自学，看中的话可以小刀一点。,books/exam,like_new,169,115
瑜伽垫,瑜伽垫，在学校操场使用，整体状态很好，适合日常锻炼，支持当面验货。,sports/fitness,new,1006,816
桌游,桌游，在校期间使用，细节位置有轻微磨损，适合有同样兴趣的同学，校内自提优先。,other/musical,good,777,482
专业参考书 考研专用,专业参考书 考研专用，部分章节有荧光笔划线，书脊完好，无缺页，适合备考或平时自学，也可以邮寄，运费自理。,books/magazine,fair,135,40
帆布包 尺码M,帆布包 尺码M，穿着次数不多，无明显污渍，衣服版型正常，不影响日常穿着，支持当面验货。,clothing/bottom,like_new,573,331
机械键盘 128G 2022款（电子产品/存储设备）,机械键盘 128G 2022款，平时学习和娱乐使用，外壳有少量细小划痕，无拆修，电池状态良好，也可以邮寄，运费自理。,electronics/storage,fair,3270,1056
零食大礼包,零食大礼包，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/snacks,fair,73,27
电磁炉,电磁炉，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，校内自提优先。,daily/bedding,like_new,416,246
跑步鞋,跑步鞋，在学校体育馆使用，表面有轻微磨损，适合日常锻炼，支持当面验货。,sports/fitness,good,929,640
饮料套餐,饮料套餐，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/other_food,good,60,29
瑜伽垫,瑜伽垫，在学校操场使用，表面有轻微磨损，适合日常锻炼，校内自提优先。,sports/running,fair,716,197
四六级模拟题 第六版,四六级模拟题 第六版，几乎未写过习题，书脊完好，无缺页，适合备考或平时自学，校内自提优先。,books/novel,fair,111,30
概率论教程 第七版（图书教材/专业书籍）,概率论教程 第七版，部分章节有荧光笔划线，书脊完好，无缺页，适合备考或平时自学，看中的话可以小刀一点。,books/professional,good,68,34
连帽外套 尺码S,连帽外套 尺码S，洗护得当，颜色保持良好，无明显污渍，衣服版型正常，不影响日常穿着，看中的话可以小刀一点。,clothing/outerwear,new,44,32
iPhone 14 512G 2022款,iPhone 14 512G 2022款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，也可以邮寄，运费自理。,electronics/tablet,like_new,2783,1618
台灯（日用百货/文具用品）,台灯，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，支持当面验货。,daily/stationery,like_new,364,195
经典小说 第六版,经典小说 第六版，只有少量铅笔标注，书脊完好，无缺页，适合备考或平时自学，支持当面验货。,books/comic,new,14,11
经典小说 考研专用,经典小说 考研专用，只有少量铅笔标注，书脊完好，无缺页，适合备考或平时自学，校内自提优先。,books/textbook,fair,89,34
吹风机（其他/服务技能）,吹风机，在校期间使用，基本保持干净整洁，适合有同样兴趣的同学，也可以邮寄，运费自理。,other/service,new,1929,1550
四六级模拟题 最新版（图书教材/杂志期刊）,四六级模拟题 最新版，几乎未写过习题，书脊完好，无缺页，适合备考或平时自学，也可以邮寄，运费自理。,books/magazine,good,99,66
雨伞（日用百货/床上用品）,雨伞，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，支持当面验货。,daily/bedding,like_new,338,248
运动鞋 尺码XL,运动鞋 尺码XL，只在换季时偶尔穿，细看有少量小污渍，衣服版型正常，不影响日常穿着，支持当面验货。,clothing/accessories,fair,416,165
羽毛球拍,羽毛球拍，在学校操场使用，整体状态很好，适合日常锻炼，看中的话可以小刀一点。,sports/other_sports,like_new,753,395
零食大礼包,零食大礼包，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/drinks,good,92,45
运动护膝,运动护膝，在学校体育馆使用，表面有轻微磨损，适合日常锻炼，校内自提优先。,sports/cycling,poor,1343,352
奶茶券,奶茶券，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/drinks,good,62,29
帆布包 尺码S（服装配饰/配饰）,帆布包 尺码S，穿着次数不多，无明显污渍，衣服版型正常，不影响日常穿着，也可以邮寄，运费自理。,clothing/accessories,new,175,130
漫画合集 第七版,漫画合集 第七版，只有少量铅笔标注，书脊完好，无缺页，适合备考或平时自学，校内自提优先。,books/language,good,129,54
篮球,篮球，在学校体育馆使用，表面有轻微磨损，适合日常锻炼，支持当面验货。,sports/other_sports,good,200,135
iPhone 14 64G 2020款（电子产品/相机/摄像机）,iPhone 14 64G 2020款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，也可以邮寄，运费自理。,electronics/camera,like_new,2387,1545
雨伞（日用百货/个人护理）,雨伞，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，支持当面验货。,daily/personal_care,fair,397,161
蓝牙耳机 256G 2021款,蓝牙耳机 256G 2021款，平时学习和娱乐使用，外壳有少量细小划痕，无拆修，电池状态良好，看中的话可以小刀一点。,electronics/desktop,good,7894,4016
羽绒服 尺码S,羽绒服 尺码S，只在换季时偶尔穿，无明显污渍，衣服版型正常，不影响日常穿着，支持当面验货。,clothing/dress,new,329,283
机械键盘 64G 2022款（电子产品/平板电脑）,机械键盘 64G 2022款，平时学习和娱乐使用，外壳有少量细小划痕，无拆修，电池状态良好，校内自提优先。,electronics/tablet,good,6891,4208
机械键盘 256G 2020款,机械键盘 256G 2020款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，看中的话可以小刀一点。,electronics/storage,like_new,7263,4904
专业课教材 第六版,专业课教材 第六版，只有少量铅笔标注，书脊完好，无缺页，适合备考或平时自学，校内自提优先。,books/comic,fair,14,3
哑铃套装（运动用品/户外装备）,哑铃套装，在学校体育馆使用，表面有轻微磨损，适合日常锻炼，支持当面验货。,sports/outdoor,poor,1052,271
经典小说 第七版（图书教材/考试用书）,经典小说 第七版，只有少量铅笔标注，书脊完好，无缺页，适合备考或平时自学，支持当面验货。,books/exam,fair,115,48
经典小说 最新版,经典小说 最新版，只有少量铅笔标注，书脊完好，无缺页，适合备考或平时自学，校内自提优先。,books/exam,fair,193,53
轻薄本 128G 2021款,轻薄本 128G 2021款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，支持当面验货。,electronics/laptop,like_new,3560,2004
化妆品套装,化妆品套装，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，校内自提优先。,daily/storage_box,like_new,466,235
画板,画板，在校期间使用，细节位置有轻微磨损，适合有同样兴趣的同学，看中的话可以小刀一点。,other/service,good,1552,981
吹风机,吹风机，在校期间使用，整体成色良好，适合有同样兴趣的同学，支持当面验货。,other/appliance,fair,513,170
零食大礼包,零食大礼包，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/drinks,like_new,27,21
四六级模拟题 考研专用,四六级模拟题 考研专用，几乎未写过习题，书脊完好，无缺页，适合备考或平时自学，看中的话可以小刀一点。,books/language,good,78,36
跑步鞋,跑步鞋，在学校体育馆使用，表面有轻微磨损，适合日常锻炼，看中的话可以小刀一点。,sports/cycling,good,141,91
马丁靴 尺码XL（服装配饰/配饰）,马丁靴 尺码XL，洗护得当，颜色保持良好，无明显污渍，衣服版型正常，不影响日常穿着，校内自提优先。,clothing/accessories,like_new,678,393
台灯,台灯，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，看中的话可以小刀一点。,daily/cosmetics,like_new,332,209
机械键盘 256G 2022款（电子产品/笔记本电脑）,机械键盘 256G 2022款，平时学习和娱乐使用，外壳有少量细小划痕，无拆修，电池状态良好，支持当面验货。,electronics/laptop,good,7631,3513
水壶（日用百货/收纳用品）,水壶，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，看中的话可以小刀一点。,daily/storage_box,like_new,268,156
奶茶券,奶茶券，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/tea_coffee,like_new,134,75
显示器 64G 2020款（电子产品/智能手表/手环）,显示器 64G 2020款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，校内自提优先。,electronics/watch,like_new,1260,921
轻薄本 128G 2020款,轻薄本 128G 2020款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，看中的话可以小刀一点。,electronics/headphone,new,7229,5373
考研英语真题 第七版,考研英语真题 第七版，部分章节有荧光笔划线，书脊完好，无缺页，适合备考或平时自学，也可以邮寄，运费自理。,books/exam,new,197,159
零食大礼包,零食大礼包，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/drinks,fair,52,17
概率论教程 第七版,概率论教程 第七版，部分章节有荧光笔划线，书脊完好，无缺页，适合备考或平时自学，也可以邮寄，运费自理。,books/comic,like_new,131,72
